0,0,0,1294.91,610.338
48,0,0,1397.93,581.386
96,0,0,1511.16,546.523
144,0,0,1645.28,510.47
192,0,0,1796.34,465.341
0,48,0,1299.57,736.62
48,48,0,1401.56,713.862
96,48,0,1517.69,690.127
144,48,0,1647.83,660.583
192,48,0,1801.17,629.797
0,96,0,1304.39,861.134
48,96,0,1405.94,848.19
96,96,0,1521.72,830.327
144,96,0,1653.74,813.083
192,96,0,1804.67,790.804
0,144,0,1308.75,985.553
48,144,0,1409.27,976.281
96,144,0,1526.67,971.323
144,144,0,1657.94,961.77
192,144,0,1809.78,952.88
0,192,0,1311.68,1106.77
48,192,0,1415.96,1109.8
96,192,0,1529.99,1108.51
144,192,0,1663.1,1111.96
192,192,0,1813.99,1111.91
0,240,0,1318.97,1231.85
48,240,0,1419.84,1238.89
96,240,0,1535.52,1250.79
144,240,0,1668.2,1259.65
192,240,0,1819.12,1272.93
0,288,0,1322.7,1353.47
48,288,0,1425.6,1370.68
96,288,0,1541.49,1387.45
144,288,0,1674.11,1407.68
192,288,0,1824.51,1430.34
