0,0,0,1144.23,268.829
25,0,0,1141.73,349.627
50,0,0,1139.24,429.874
75,0,0,1136.77,509.574
100,0,0,1134.32,588.734
125,0,0,1131.88,667.358
150,0,0,1129.46,745.453
175,0,0,1127.05,823.023
200,0,0,1124.66,900.074
0,25,0,1070.8,257.34
25,25,0,1068.48,340.754
50,25,0,1066.17,423.579
75,25,0,1063.88,505.823
100,25,0,1061.6,587.491
125,25,0,1059.34,668.59
150,25,0,1057.1,749.125
175,25,0,1054.87,829.103
200,25,0,1052.65,908.528
0,50,0,992.523,245.093
25,50,0,990.407,331.296
50,50,0,988.307,416.872
75,50,0,986.222,501.827
100,50,0,984.152,586.168
125,50,0,982.097,669.902
150,50,0,980.057,753.035
175,50,0,978.031,835.574
200,50,0,976.02,917.525
0,75,0,908.894,232.009
25,75,0,907.022,321.195
50,75,0,905.164,409.71
75,75,0,903.321,497.561
100,75,0,901.491,584.756
125,75,0,899.674,671.302
150,75,0,897.871,757.206
175,75,0,896.082,842.477
200,75,0,894.305,927.119
0,100,0,819.35,218
25,100,0,817.762,310.382
50,100,0,816.187,402.045
75,100,0,814.624,492.996
100,100,0,813.073,583.245
125,100,0,811.534,672.799
150,100,0,810.007,761.666
175,100,0,808.491,849.854
200,100,0,806.987,937.371
0,125,0,723.24,202.963
25,125,0,721.984,298.78
50,125,0,720.738,393.823
75,125,0,719.502,488.102
100,125,0,718.276,581.625
125,125,0,717.06,674.404
150,125,0,715.853,766.445
175,125,0,714.656,857.757
200,125,0,713.469,948.35
