0,0,0,543.12,201.982
48,0,0,589.652,194.281
96,0,0,647.412,182.548
144,0,0,706.369,170.693
192,0,0,770.902,155.17
0,48,0,545.353,261.183
48,48,0,594.123,254.513
96,48,0,648.851,246.545
144,48,0,706.614,239.119
192,48,0,773.295,231.694
0,96,0,547.346,321.114
48,96,0,596.185,316.981
96,96,0,650.818,314.771
144,96,0,708.077,309.722
192,96,0,776.793,303.672
0,144,0,548.036,381.786
48,144,0,600.543,380.358
96,144,0,653.175,376.602
144,144,0,711.482,376.149
192,144,0,777.309,374.484
0,192,0,551.918,440.285
48,192,0,601.316,438.715
96,192,0,651.733,439.4
144,192,0,714.053,443.678
192,192,0,777.908,444.226
0,240,0,552.435,498.021
48,240,0,601.691,500.703
96,240,0,655.488,508.445
144,240,0,715.139,510.557
192,240,0,783.479,516.276
0,288,0,556.075,557.665
48,288,0,605.463,565.875
96,288,0,660.145,572.522
144,288,0,718.372,580.316
192,288,0,784.336,588.397
